Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR2641635_bin.10	80.75	2.0	Neural Network (Specific Model)	11	0.875	27290	316.0443230115361	1782821	0.6	1647	97	72630	None
ERR2641635_bin.11	59.96	0.18	Neural Network (Specific Model)	11	0.909	124151	363.9452341137124	2867737	0.44	2392	36	240482	None
ERR2641635_bin.12	30.24	0.05	Neural Network (Specific Model)	11	0.902	22424	311.4986033519553	740713	0.5	716	62	69963	None
ERR2641635_bin.13	47.3	5.85	Gradient Boost (General Model)	11	0.9	3547	297.0125231910946	2131768	0.44	2156	639	18022	None
ERR2641635_bin.14	52.66	7.86	Neural Network (Specific Model)	11	0.865	2903	267.72695214105795	1839783	0.38	1985	656	11535	None
ERR2641635_bin.15	41.56	0.11	Neural Network (Specific Model)	11	0.898	213323	328.3245033112583	827252	0.59	755	5	274123	None
ERR2641635_bin.17	7.91	0.01	Neural Network (Specific Model)	11	0.836	21557	222.58238636363637	280570	0.44	352	20	53032	None
ERR2641635_bin.19	32.85	0.41	Neural Network (Specific Model)	11	0.849	39082	318.30981595092027	1097926	0.36	978	44	133744	None
ERR2641635_bin.21	98.62	0.46	Gradient Boost (General Model)	11	0.9	51365	297.2087004405286	1795368	0.46	1816	46	139750	None
ERR2641635_bin.22	81.68	1.1	Gradient Boost (General Model)	11	0.883	23626	336.674513354459	2522319	0.44	2209	168	83813	None
ERR2641635_bin.23	55.06	0.08	Gradient Boost (General Model)	11	0.93	3502	271.2424778761062	986874	0.48	1130	312	12488	None
ERR2641635_bin.26	97.63	4.77	Neural Network (Specific Model)	11	0.891	78301	330.743520700101	3304311	0.43	2971	79	389603	None
ERR2641635_bin.28	83.39	0.24	Neural Network (Specific Model)	11	0.892	21944	317.62550200803213	2125217	0.42	1992	148	111847	None
ERR2641635_bin.3	5.37	0.0	Neural Network (Specific Model)	11	0.875	37092	307.415	210070	0.47	200	6	57470	None
ERR2641635_bin.30	71.49	18.65	Gradient Boost (General Model)	11	0.882	22873	303.2194637537239	2073497	0.42	2014	149	74923	None
ERR2641635_bin.36	7.68	0.09	Neural Network (Specific Model)	11	0.856	7034	245.17454545454547	235743	0.44	275	41	25140	None
ERR2641635_bin.37	95.41	17.22	Neural Network (Specific Model)	11	0.912	10847	361.4584740040513	7034180	0.42	5924	981	59563	None
ERR2641635_bin.40	6.48	0.03	Neural Network (Specific Model)	11	0.888	19505	257.5431034482759	201172	0.53	232	19	64753	None
ERR2641635_bin.41	96.84	7.91	Neural Network (Specific Model)	11	0.899	42884	303.9322180559562	3509223	0.41	3467	164	132672	None
ERR2641635_bin.42	46.21	1.96	Gradient Boost (General Model)	11	0.888	3628	253.94675419401895	1173900	0.6	1371	360	11660	None
ERR2641635_bin.43	83.39	0.25	Neural Network (Specific Model)	11	0.926	5505	309.8099737532808	1909274	0.37	1905	437	22478	None
ERR2641635_bin.45	95.71	1.47	Gradient Boost (General Model)	11	0.896	51132	311.3485824742268	1616134	0.28	1552	54	140276	None
ERR2641635_bin.46	76.79	2.81	Neural Network (Specific Model)	11	0.912	7695	304.2443280977312	2289401	0.38	2292	379	45697	None
ERR2641635_bin.48	79.08	15.21	Neural Network (Specific Model)	11	0.898	7184	297.906949352179	2530509	0.44	2547	461	30772	None
ERR2641635_bin.49	18.53	0.78	Neural Network (Specific Model)	11	0.881	2870	235.85726643598616	925650	0.33	1156	339	9449	None
ERR2641635_bin.5	96.56	0.0	Neural Network (Specific Model)	11	0.91	22331	331.21065375302663	2250597	0.38	2065	148	54966	None
ERR2641635_bin.50	90.4	3.01	Gradient Boost (General Model)	11	0.899	23643	279.5292639138241	2592679	0.29	2785	216	72089	None
ERR2641635_bin.51	98.3	1.1	Neural Network (Specific Model)	11	0.912	24257	322.56628056628057	2471041	0.38	2331	151	84987	None
ERR2641635_bin.53	18.96	0.01	Neural Network (Specific Model)	11	0.906	106548	348.4087403598972	448467	0.62	389	11	123907	None
ERR2641635_bin.56	37.05	0.05	Neural Network (Specific Model)	11	0.92	84614	366.54347826086956	1536503	0.47	1288	22	147964	None
